
"[run number]","flock-behavior","movement-decrease","[step]","count turtles with [friends-score = 0]","count turtles with [lonely? = true]","mean [link-weight] of turtles","mean [friends-score] of turtles","standard-deviation [link-weight] of turtles","standard-deviation [friends-score] of turtles"
"2","true","true","2000","1","22","156.2295578480875","3.176","92.69854350300955","1.0494902185706663"
"4","true","true","2000","2","20","165.8592001689115","3.192","95.90232323699526","1.169876250621008"
"3","true","true","2000","2","9","150.59313288252093","3.304","85.09761872187124","1.124563279802931"
"1","true","true","2000","0","13","158.74108867577647","3.176","89.61973736730926","1.1894043597211572"
"7","true","true","2000","0","15","159.15578801303587","3.336","85.03708875704271","0.9975391407606023"
"5","true","true","2000","1","18","148.9238652712846","3.184","87.52052357831276","1.0857529358703129"
"6","true","true","2000","3","11","130.37255761550938","3.352","72.11961075153275","1.3338713773844986"
"9","true","true","2000","0","18","156.51073991446773","3.2","91.9649246819438","1.0754657158757288"
"10","true","true","2000","0","14","156.31849059795823","3.152","95.59332402334462","1.112585902102948"
"11","true","true","2000","2","17","154.1565955488685","3.216","84.6981066204839","1.2326482412866173"
"8","true","true","2000","1","14","141.2698227075757","3.264","84.04064169896445","1.1831752255933323"
"13","true","true","2000","1","19","143.0561113988378","2.992","80.79616994386853","1.0902709585475574"
"12","true","true","2000","1","17","149.10438202197443","3.112","84.51550045356825","1.0807999417358536"
"14","true","true","2000","1","13","147.18417089799703","3.16","82.47039387724614","1.2017390344110936"
"16","true","true","2000","1","13","164.6760594891091","3.112","95.61301672914833","1.0196148575963992"
"17","true","true","2000","3","16","156.4016689121333","3.36","89.5320184905113","1.2794326051670957"
"18","true","true","2000","3","18","157.84168577118038","3.176","92.408457071188","1.144668100473218"
"20","true","true","2000","1","15","148.54086095303774","3.104","89.7237267358576","1.1181166034702392"
"15","true","true","2000","3","21","150.4335425088008","3.024","94.46450399439802","1.1887288611036952"
"19","true","true","2000","1","11","146.41159811624206","3.112","84.72619460553082","1.054468403726651"
"21","true","true","2000","2","17","152.92876325811687","3.16","88.90005173643932","1.1470233871209465"
"22","true","true","2000","2","18","149.88529871404316","3.296","85.21217295494925","1.0867881273435689"
"24","true","true","2000","2","17","150.14561787768739","3.152","77.5863676480592","1.1689146443530987"
"25","true","true","2000","1","9","146.98481403768113","3.248","79.31556218741255","1.0840649367766657"
"26","true","true","2000","3","13","158.2778052927184","3.08","86.34696901567364","1.1519147670388161"
"28","true","true","2000","1","11","149.73686818649074","3.216","87.30796049926622","1.0572678284352448"
"27","true","true","2000","4","20","160.5897142523306","3.016","93.43481960232644","1.2449673791310352"
"23","true","true","2000","1","16","149.75853534480075","3.16","84.88233201835843","1.0747186051805768"
"29","true","true","2000","1","13","163.18333021645878","3.264","89.1712430457412","1.109607550290936"
"30","true","true","2000","2","10","146.83969456936833","3.296","84.32424895359824","1.144387386316295"
"31","true","true","2000","2","27","167.97750981448024","3.168","104.14774594867562","1.1423642080946625"
"33","true","true","2000","1","17","158.81717861876677","3.144","88.01405149065324","1.088117640698835"
"34","true","true","2000","1","11","158.3277811187098","3.176","83.37946041887913","1.1724001400347135"
"35","true","true","2000","2","20","154.84742519179042","3.168","92.24193352462898","1.1102733119863948"
"32","true","true","2000","2","19","154.28697258256202","3.12","92.2740278608167","1.0649584715775249"
"36","true","true","2000","0","18","153.3886552716319","3.192","87.55653559901008","1.1314844356474596"
"37","true","true","2000","1","17","154.68789967822906","3.08","90.81782020431015","1.0304597952167933"
"38","true","true","2000","2","21","152.17428335863764","3.088","97.04675059929218","1.1159018540136776"
"40","true","true","2000","1","6","160.864440792732","3","84.00438179854028","1.0139588008391647"
"41","true","true","2000","1","21","148.5025606797079","3.112","90.25901980446133","1.1768585233305418"
"42","true","true","2000","2","15","147.5139170240185","3.072","84.78481742509227","1.0617557634431845"
"39","true","true","2000","1","13","158.40049269546918","3.28","92.94684788731676","1.1588666392429277"
"43","true","true","2000","1","17","157.29671827274635","3.256","85.30584316669577","1.1747271750253234"
"44","true","true","2000","1","16","162.49171940702644","3.128","92.05632317453278","1.126361737210655"
"45","true","true","2000","0","11","163.91577270324268","3.192","87.66727167648487","1.1063598548908289"
"47","true","true","2000","0","21","163.31824309585326","3.168","102.30186617753557","1.1493738473463964"
"48","true","true","2000","1","15","163.41182835409376","3.112","93.01200227524431","1.1316264018009707"
"49","true","true","2000","3","19","143.06720633239277","3.128","81.45995435108355","1.178631702765138"
"46","true","true","2000","1","15","156.03519750959921","3.272","88.86372254783352","1.3072304332528712"
"50","true","true","2000","2","20","152.8996801330818","3.112","87.32884567371192","1.183663905407213"
"51","true","true","2000","0","12","154.33822411555843","3.264","82.70199719977893","1.176367016466256"
"52","true","true","2000","0","14","154.88758601510366","3.32","83.14656843431742","1.141407571807686"
"54","true","true","2000","2","19","158.7832645726729","3.112","96.93738697175397","1.2171201773466813"
"55","true","true","2000","2","15","151.15738752538053","3.304","88.75403262257302","1.1666310952695378"
"56","true","true","2000","2","20","158.74752844272479","3.288","90.31866976436399","1.2111662539796575"
